Sno,Wardno Name,Circleno Name,Zone,Assessor Address,Latitude,Longitude,Category
128,1-KAPRA,1-KAPRA,EAST ZONE,Opp. Call Public School - Ist Lifting,17.4833447,78.5649355,DUMPER BINS
129,1-KAPRA,1-KAPRA,EAST ZONE,Opp. Call Public School - IInd Lifting,17.4834127,78.5649165,DUMPER BINS
130,1-KAPRA,1-KAPRA,EAST ZONE,Opp. Call Public School - IIIrd Lifting,17.4831962,78.564832,DUMPER BINS
131,1-KAPRA,1-KAPRA,EAST ZONE,Vampuguda,17.4951067,78.5654448,DUMPER BINS
132,1-KAPRA,1-KAPRA,EAST ZONE,Yellareddyguda,17.495215,78.5654925,DUMPER BINS
133,1-KAPRA,1-KAPRA,EAST ZONE,Saket Nagar,17.4942193,78.5777992,DUMPER BINS
134,1-KAPRA,1-KAPRA,EAST ZONE,Sairam Nagar,17.500679,78.5853775,DUMPER BINS
135,1-KAPRA,1-KAPRA,EAST ZONE,Nethaji Nagar,17.48308,78.5647298,DUMPER BINS
136,1-KAPRA,1-KAPRA,EAST ZONE,Eswaripuri,17.4910282,78.5486823,DUMPER BINS
137,1-KAPRA,1-KAPRA,EAST ZONE,Officer's Colony,17.4910412,78.548795,DUMPER BINS
138,1-KAPRA,1-KAPRA,EAST ZONE,Kandiguda,17.4876082,78.5485228,DUMPER BINS
139,1-KAPRA,1-KAPRA,EAST ZONE,Jammigadda,17.4926952,78.5754843,DUMPER BINS
306,10-UPPAL,2-UPPAL,EAST ZONE,Habsiguda - Modern Bakery,17.4012002,78.5512025,DUMPER BINS
307,10-UPPAL,2-UPPAL,EAST ZONE,Uppal - Bank Colony ( Kalyanpuri),17.4025487,78.5707042,DUMPER BINS
308,10-UPPAL,2-UPPAL,EAST ZONE,Uppal - Vegetable Market,17.402544,78.5706372,DUMPER BINS
309,10-UPPAL,2-UPPAL,EAST ZONE,Uppal - Vegetable Market,17.4026763,78.5706807,DUMPER BINS
310,10-UPPAL,2-UPPAL,EAST ZONE,Uppal - Vegetable Market,17.402602,78.5707538,DUMPER BINS
311,10-UPPAL,2-UPPAL,EAST ZONE,Uppal - Vegetable Market,17.4026743,78.5705752,DUMPER BINS
312,10-UPPAL,2-UPPAL,EAST ZONE,Uppal - Vegetable Market,17.4026382,78.5704442,DUMPER BINS
389,100-SANATH NAGAR,17-KHAIRATABAD,CENTRAL ZONE,"Zet Colony back, St. Therissa Hospital - 2nd Lift",17.4568277,78.4357098,DUMPER BINS
390,100-SANATH NAGAR,17-KHAIRATABAD,CENTRAL ZONE,Hylam Galli - 2nd Lift,17.4543883,78.4490097,DUMPER BINS
391,100-SANATH NAGAR,17-KHAIRATABAD,CENTRAL ZONE,Gokul Theater Opp.Lane - 2nd Lift,17.4540227,78.4356742,DUMPER BINS
392,100-SANATH NAGAR,17-KHAIRATABAD,CENTRAL ZONE,Lingaiah Nagar-2nd lift,17.4486665,78.4490457,DUMPER BINS
393,100-SANATH NAGAR,17-KHAIRATABAD,CENTRAL ZONE,Industrial Estate A.T.M-2nd lift,17.4574133,78.447149,DUMPER BINS
394,100-SANATH NAGAR,17-KHAIRATABAD,CENTRAL ZONE,Shivaji Nagar jet colony-2nd lift,17.4568897,78.435726,DUMPER BINS
395,100-SANATH NAGAR,17-KHAIRATABAD,CENTRAL ZONE,"Red Pole Opp. ,Sanath Nagar Ps. Industrial Estate -2 -2nd lift",17.4580238,78.4470453,DUMPER BINS
396,100-SANATH NAGAR,17-KHAIRATABAD,CENTRAL ZONE,Fathe Nagar Bridge Down-2nd lift,17.4531933,78.4501923,DUMPER BINS
